Date,Transaction Description,Category,Amount (Rupiah),Type
2020-03-13,Store balance.,Health & Fitness,17073200,Expense
2020-03-14,Total store.,Food & Drink,14221600,Expense
2020-03-14,Electricity booking subscription clinic deposit.,Travel,12954300,Expense
2020-03-14,Gym tax adjustment flight phone pharmacy.,Entertainment,9540700,Expense
2020-03-14,Project total insurance phone grocery network.,Salary,17848800,Income
2020-03-14,App order package standard salary taxi electricity.,Entertainment,6356200,Expense
2020-03-14,Mortgage economy.,Health & Fitness,10158800,Expense
2020-03-14,Upon very act perform.,Shopping,19290800,Expense
2020-03-14,Salary monthly bonus hardware balance.,Utilities,5463500,Expense
2020-03-14,Investment phone contract.,Utilities,2431800,Expense
2020-03-14,Deal market grocery client shop regular restaurant.,Utilities,13769400,Expense
2020-03-14,Health market.,Food & Drink,11998400,Expense
2020-03-14,Package food.,Investment,34580500,Income
2020-03-14,Direct interest.,Health & Fitness,13561500,Expense
2020-03-15,Parking loan direct order.,Entertainment,11001800,Expense
2020-03-15,Network express credit freelance hardware network gross.,Investment,34737000,Income
2020-03-15,Premium online utility.,Food & Drink,2288000,Expense
2020-03-15,Standard total clinic transfer transfer.,Travel,9176800,Expense
2020-03-15,Monthly gym equipment entertainment insurance.,Health & Fitness,7936500,Expense
2020-03-15,Available defense.,Entertainment,14287700,Expense
2020-03-15,Store monthly order processed.,Rent,9191300,Expense
2020-03-15,Booking platform weekly gross.,Shopping,7034500,Expense
2020-03-15,Economy weekly material utility processed.,Travel,14034900,Expense
2020-03-16,Hotel fuel.,Other,41948300,Income
2020-03-16,Online economy financial interest.,Other,19034500,Income
2020-03-16,Train food weekly bonus mortgage gym.,Rent,17375600,Expense
2020-03-16,Health freelance restaurant service grocery tools.,Other,33556900,Income
2020-03-18,Market market shop.,Other,38302700,Income
2020-03-18,Net charge account parking fee travel balance.,Rent,7579600,Expense
2020-03-18,Account net software parking.,Travel,16008400,Expense
2020-03-18,Business savings support standard.,Travel,5586100,Expense
2020-03-18,Tax daily.,Food & Drink,5750000,Expense
2020-03-18,Value thing these.,Health & Fitness,8818200,Expense
2020-03-18,Payment investment.,Food & Drink,19947700,Expense
2020-03-18,Express bonus.,Travel,12440700,Expense
2020-03-18,Express mall express.,Rent,6494800,Expense
2020-03-19,Weekly taxi.,Entertainment,9150200,Expense
2020-03-19,Deal freelance order subscription project automatic premium.,Health & Fitness,12686600,Expense
2020-03-19,Bus account credit equipment service.,Entertainment,9401600,Expense
2020-03-20,Express deposit regular order regular.,Rent,8382100,Expense
2020-03-20,Budget management.,Shopping,7258200,Expense
2020-03-21,Citizen street region.,Rent,5033300,Expense
2020-03-21,Invoice premium total hotel automatic weekly.,Shopping,8227800,Expense
2020-03-22,Equipment household economy bonus subscription maintenance automatic.,Health & Fitness,8346600,Expense
2020-03-23,Equipment clinic management delivery.,Utilities,18523800,Expense
2020-03-23,Subscription hardware.,Health & Fitness,7285400,Expense
2020-03-23,Property never.,Investment,23850000,Income
2020-03-23,Enough threat score.,Food & Drink,1512800,Expense
2020-03-23,Gym pharmacy automatic client payment.,Travel,5098900,Expense
2020-03-24,Credit standard fuel gym.,Other,13323100,Income
2020-03-24,Example decision garden.,Entertainment,1441300,Expense
2020-03-24,Parking travel contract purchase net pharmacy material.,Utilities,9350700,Expense
2020-03-24,Advance service.,Shopping,825500,Expense
2020-03-24,Booking internet.,Other,39930900,Income
2020-03-24,Financial monthly food fuel network.,Health & Fitness,9916300,Expense
2020-03-25,Plan purchase deal.,Salary,8251300,Income
2020-03-25,Travel store clinic package.,Shopping,9700300,Expense
2020-03-26,Priority internet.,Travel,8561200,Expense
2020-03-26,Shop loan.,Other,44014600,Income
2020-03-26,Tools fee utility contract savings system interest.,Entertainment,13364900,Expense
2020-03-26,Internet subscription interest subscription maintenance investment clinic.,Food & Drink,15412300,Expense
2020-03-26,Hardware internet pending hardware hotel renewal.,Food & Drink,13653600,Expense
2020-03-27,Order personal service.,Shopping,10665500,Expense
2020-03-27,Account special weekly insurance credit total.,Entertainment,10957100,Expense
2020-03-28,Platform adjustment economy savings adjustment order delivery.,Rent,2823900,Expense
2020-03-28,Major town suffer begin.,Other,10800000,Income
2020-03-28,Total fuel software pending.,Food & Drink,8501900,Expense
2020-03-28,Gross budget discount.,Health & Fitness,6523700,Expense
2020-03-28,Monthly net hardware market store salary.,Food & Drink,5711500,Expense
2020-03-28,Financial hotel.,Travel,9006100,Expense
2020-03-28,Business pharmacy standard.,Investment,36564100,Income
2020-03-29,Credit fee equipment management.,Other,20687100,Income
2020-03-29,Account budget bus business entertainment salary.,Food & Drink,14896800,Expense
2020-03-29,Food utility gym equipment.,Salary,11144000,Income
2020-03-29,Health store deal.,Salary,9715800,Income
2020-03-29,Direct business taxi maintenance freelance total deposit.,Investment,40852000,Income
2020-03-30,Market total regular taxi economy account.,Food & Drink,3524400,Expense
2020-03-30,Deal network standard water express savings daily.,Shopping,8389100,Expense
2020-03-30,Economy bus maintenance.,Health & Fitness,11217900,Expense
2020-03-30,Flight balance parking account standard.,Food & Drink,11826300,Expense
2020-03-30,Standard hardware equipment transfer package.,Health & Fitness,8637800,Expense
2020-03-30,Management fee utility financial account vendor mall.,Health & Fitness,9805400,Expense
2020-03-31,Insurance network credit subscription savings bill.,Food & Drink,9188400,Expense
2020-03-31,Adjustment salary internet interest maintenance phone.,Health & Fitness,10890600,Expense
2020-03-31,Bus train.,Health & Fitness,5394900,Expense
2020-03-31,Internet deal.,Rent,5430100,Expense
2020-03-31,Household platform annual pending household.,Health & Fitness,6861900,Expense
2020-04-01,Total delivery insurance tools support market maintenance.,Shopping,11880700,Expense
2020-04-01,Analysis four capital.,Travel,13412700,Expense
2020-04-01,Mortgage gross standard.,Investment,13185700,Income
2020-04-01,Network insurance package platform.,Salary,18255100,Income
2020-04-02,Charge contract restaurant processed clinic.,Health & Fitness,10723300,Expense
2020-04-02,Delivery train order management contract regular.,Rent,7116800,Expense
2020-04-02,Hardware direct gym credit plan booking.,Shopping,16590100,Expense
2020-04-02,Account gym.,Rent,3252100,Expense
2020-04-03,Savings automatic.,Investment,34800600,Income
2020-04-03,Insurance daily bonus freelance equipment material fuel.,Salary,8361800,Income
2020-04-03,Weekly material regular.,Utilities,10230200,Expense
2020-04-03,Booking electricity shop water priority water market.,Investment,37015700,Income
2020-04-03,Purchase debit.,Salary,6439500,Income
2020-04-03,Salary support order fee bill bus.,Rent,12260300,Expense
2020-04-03,Total client.,Health & Fitness,11020700,Expense
2020-04-04,Maintenance fee management fuel contract order savings.,Rent,8499700,Expense
2020-04-04,Phone business transfer contract weekly health.,Food & Drink,8214600,Expense
2020-04-04,Special market mortgage interest internet.,Utilities,9934600,Expense
2020-04-05,Scientist necessary into.,Utilities,14494700,Expense
2020-04-05,Budget subscription service client gym salary.,Rent,14732100,Expense
2020-04-05,Travel internet.,Food & Drink,5496300,Expense
2020-04-06,Along hard need involve among.,Shopping,3889200,Expense
2020-04-06,Weekly taxi.,Entertainment,3660400,Expense
2020-04-06,Adjustment project.,Salary,12538600,Income
2020-04-06,Client premium priority vendor credit.,Investment,43168700,Income
2020-04-06,Clinic savings net balance freelance.,Salary,7484600,Income
2020-04-06,Gross digital purchase gym special.,Food & Drink,8450300,Expense
2020-04-06,Away third.,Salary,4935600,Income
2020-04-06,Mall reward.,Entertainment,8621300,Expense
2020-04-07,Discount restaurant annual transfer fee financial economy.,Shopping,3965100,Expense
2020-04-07,Contract advance budget reward weekly.,Food & Drink,16045100,Expense
2020-04-07,Bonus flight market electricity deal gross.,Travel,5747400,Expense
2020-04-07,Software transfer subscription.,Entertainment,5744000,Expense
2020-04-07,Automatic credit digital pending.,Rent,4930000,Expense
2020-04-08,Entertainment charge food economy.,Investment,25763600,Income
2020-04-08,Fee gross hospital contract tax savings.,Shopping,9050100,Expense
2020-04-08,Insurance mortgage phone package processed clinic.,Shopping,8472000,Expense
2020-04-08,Vendor reward standard payment daily food.,Rent,7284500,Expense
2020-04-08,Fuel restaurant bonus credit.,Health & Fitness,7680500,Expense
2020-04-08,Hospital charge.,Investment,40525100,Income
2020-04-08,Interest material annual.,Rent,12217400,Expense
2020-04-08,Grocery reward health contract app.,Utilities,13294100,Expense
2020-04-08,Account annual food.,Food & Drink,9580200,Expense
2020-04-08,Online food business.,Entertainment,14540900,Expense
2020-04-08,Annual package balance reward.,Health & Fitness,12248900,Expense
2020-04-08,Bonus digital package entertainment account project delivery.,Shopping,11937800,Expense
2020-04-08,Premium vendor tools hardware.,Investment,20628300,Income
2020-04-08,Purchase total clinic grocery loan food.,Utilities,4848400,Expense
2020-04-09,Internet platform.,Salary,9731100,Income
2020-04-09,Fuel travel software mall adjustment.,Travel,11830100,Expense
2020-04-09,Deal travel water phone plan annual.,Food & Drink,9389600,Expense
2020-04-09,Personal service.,Investment,18462600,Income
2020-04-09,Booking mortgage discount express delivery booking tools.,Food & Drink,18235800,Expense
2020-04-10,Service app electricity subscription standard direct.,Travel,19483000,Expense
2020-04-10,Utility reward.,Rent,7314800,Expense
2020-04-10,Total tax support.,Salary,7376100,Income
2020-04-10,Account household net household fuel.,Travel,2007800,Expense
2020-04-10,Together decide.,Other,34020000,Income
2020-04-10,Electricity automatic standard monthly interest.,Utilities,7606100,Expense
2020-04-10,Service fuel fee financial.,Utilities,7114800,Expense
2020-04-11,Special phone financial hospital.,Shopping,16022300,Expense
2020-04-11,Renewal regular priority food digital adjustment phone.,Shopping,16668100,Expense
2020-04-11,Package processed pending business.,Food & Drink,19189200,Expense
2020-04-11,Discount vendor network.,Shopping,10802700,Expense
2020-04-12,Gym utility.,Travel,14220800,Expense
2020-04-12,Savings grocery phone annual travel gym.,Other,26571600,Income
2020-04-12,Electricity plan loan charge phone entertainment.,Utilities,1612200,Expense
2020-04-12,Reward debit platform gym reward mortgage.,Other,9100800,Income
2020-04-12,Payment salary taxi app charge.,Health & Fitness,8458900,Expense
2020-04-13,Package mortgage gross.,Rent,11607100,Expense
2020-04-14,Clinic debit gym.,Investment,26639500,Income
2020-04-14,Flight hotel transfer deposit.,Health & Fitness,8103000,Expense
2020-04-14,Phone delivery app entertainment mall health bonus.,Other,34834000,Income
2020-04-14,Hotel priority material package food hotel.,Utilities,11012000,Expense
2020-04-14,Food interest freelance advance special payment water.,Investment,41842700,Income
2020-04-14,Fuel health internet tools purchase annual pharmacy.,Other,11976000,Income
2020-04-15,Package app phone business.,Rent,14095800,Expense
2020-04-15,Management phone loan equipment processed.,Health & Fitness,13514200,Expense
2020-04-15,Vendor entertainment financial restaurant client.,Travel,2159500,Expense
2020-04-15,Hardware market network system hotel household.,Investment,20088200,Income
2020-04-16,Mall payment bill regular economy.,Salary,10955700,Income
2020-04-16,Shop equipment express train order.,Salary,17787100,Income
2020-04-16,Management food priority regular platform.,Other,42378000,Income
2020-04-17,See understand door class son.,Investment,9960000,Income
2020-04-17,Flight software.,Salary,6099400,Income
2020-04-17,Government nice.,Salary,17290400,Income
2020-04-17,Premium insurance transfer.,Shopping,9611500,Expense
2020-04-17,Direct package.,Investment,19667100,Income
2020-04-18,Salary client.,Salary,8709900,Income
2020-04-18,Online fee.,Shopping,7637800,Expense
2020-04-18,Standard gym electricity support.,Travel,10667000,Expense
2020-04-18,Support household reward.,Other,6713100,Income
2020-04-18,Agent say forward us.,Health & Fitness,16031800,Expense
2020-04-19,Client business health transfer client hotel.,Food & Drink,12461400,Expense
2020-04-19,Budget plan special equipment automatic adjustment health.,Rent,12394600,Expense
2020-04-19,Tools order management.,Utilities,8684400,Expense
2020-04-19,Support system.,Health & Fitness,17808200,Expense
2020-04-19,Household automatic system.,Utilities,9657000,Expense
2020-04-19,Bus travel.,Other,37936800,Income
2020-04-19,Credit processed subscription.,Investment,45224600,Income
2020-04-19,Renewal train equipment food bonus account.,Rent,5175100,Expense
2020-04-19,Equipment budget material salary.,Travel,8545000,Expense
2020-04-20,Balance direct.,Health & Fitness,8104600,Expense
2020-04-20,Shop fuel clinic.,Entertainment,7785100,Expense
2020-04-20,System pending tax interest.,Other,21044000,Income
